Actual,Error,Predicted
4698000,-7516.622013587147,-4705516.6220135875
4695000,-7273.405977813511,-4702273.4059778135
4600000,-8165.177792182614,-4608165.177792182
4599000,-8079.2985099786065,-4607079.298509979
4598000,-7717.566495863551,-4605717.566495864
4595000,-8110.55949593364,-4603110.559495933
4588000,-6757.9635057257865,-4594757.963505725
4585000,-8247.9225796705,-4593247.92257967
4575000,-7955.980063069339,-4582955.98006307
4500000,-8416.951516224297,-4508416.951516224
4500000,-7515.183052157675,-4507515.183052158
4500000,-8413.342131413507,-4508413.3421314135
4499000,-5457.873308655507,-4504457.873308656
4498000,-5043.132797066587,-4503043.132797066
4495000,-6372.36938995169,-4501372.369389951
4495000,-6984.078936356864,-4501984.078936357
4495000,-6147.698256602224,-4501147.6982566025
4495000,-7668.374601192418,-4502668.374601193
4495000,-6645.849126686204,-4501645.849126686
4495000,-7009.615872834943,-4502009.615872835
4425000,-5443.716858611454,-4430443.716858611
4410000,-7469.133977654011,-4417469.133977654
4399000,-8099.740076630417,-4407099.74007663
4395000,-8001.792890666668,-4403001.792890667
4395000,-7442.705762553496,-4402442.705762554
4395000,-7717.144047261606,-4402717.144047261
4395000,-7717.144047261606,-4402717.144047261
4395000,-7583.795536414578,-4402583.795536415
4385000,-8333.766726550279,-4393333.766726551
4375000,-8117.092424815862,-4383117.0924248155
4350000,-7122.274595246984,-4357122.274595247
4350000,-8822.979106510755,-4358822.979106511
4299000,-7236.8184166516185,-4306236.818416651
4295000,-6669.316720137586,-4301669.316720137
4295000,-6252.798497353666,-4301252.798497354
4288000,-7547.247093900844,-4295547.247093901
4268000,-5934.328662139295,-4273934.328662139
4260000,-6228.492225970871,-4266228.492225971
4250000,-7675.894406242917,-4257675.894406243
4250000,-6951.621340355186,-4256951.621340355
4250000,-7251.894248781111,-4257251.894248781
4250000,-7059.3989881729,-4257059.398988173
4250000,-7266.100893712713,-4257266.100893713
4250000,-7645.323779108206,-4257645.323779108
4250000,-8333.255455258572,-4258333.255455258
4249999,-7207.037850098369,-4257206.037850099
4249000,-6792.042626555548,-4255792.042626556
4200000,-8220.13986902402,-4208220.139869024
4200000,-7814.334846929539,-4207814.33484693
4200000,-7291.845752760254,-4207291.84575276
4199000,-7029.951216376682,-4206029.951216376
4199000,-8288.801425153859,-4207288.801425154
4198000,-6807.706174492885,-4204807.706174493
4195000,-7611.057237379334,-4202611.057237379
4195000,-7856.9284570832615,-4202856.928457083
4190000,-7851.121352228979,-4197851.121352229
4185000,-7708.334263151853,-4192708.334263152
4000000,-3040.335545361848,-4003040.335545362
4000000,-7558.373611908589,-4007558.3736119084
4000000,-8941.523351098263,-4008941.5233510984
4000000,-9207.763487266182,-4009207.7634872664
4000000,-9250.359136244864,-4009250.3591362447
3999995,-6589.505725206398,-4006584.5057252063
3999900,-7796.684073284326,-4007696.6840732843
3999900,-9240.508985560486,-4009140.5089855604
3999000,-8097.433658473872,-4007097.4336584737
3999000,-7365.043908988239,-4006365.043908988
3999000,-7369.40471372789,-4006369.404713728
3999000,-7073.330434871746,-4006073.330434872
3999000,-7436.503835829825,-4006436.50383583
3999000,-7640.041467155242,-4006640.0414671553
3999000,-7775.593942884364,-4006775.5939428844
3998000,-7229.674554027418,-4005229.6745540276
3998000,-8289.022913678971,-4006289.022913679
3995000,-5353.994830700409,-4000353.9948307006
3995000,-7263.0199715170265,-4002263.019971517
3995000,-8410.141381449956,-4003410.14138145
3995000,-7869.279110419065,-4002869.279110419
3995000,-6838.528833700182,-4001838.5288337003
3995000,-7497.543277667639,-4002497.543277668
3995000,-8877.069359580008,-4003877.06935958
3980000,-7976.08617507921,-3987976.086175079
3975000,-7838.168033145554,-3982838.1680331454
3950000,-7240.953459938244,-3957240.953459938
3950000,-7240.953459938244,-3957240.953459938
3950000,-6976.5771544975705,-3956976.5771544976
3950000,-5768.355947269239,-3955768.355947269
3950000,-7249.001398828331,-3957249.0013988283
3945000,-6384.792690116652,-3951384.7926901164
3900000,-6404.008788731095,-3906404.008788731
3900000,-7434.872601352756,-3907434.8726013526
3899000,-7052.992461067876,-3906052.992461068
3899000,-7267.037956864308,-3906267.037956864
3895000,-6259.23972253147,-3901259.2397225313
3895000,-7298.972628256486,-3902298.9726282563
3895000,-8169.995717141195,-3903169.9957171413
3890000,-5611.650172719807,-3895611.6501727197
3890000,-5611.650172719807,-3895611.6501727197
3888000,-4991.496752245783,-3892991.496752246
